Epoch,Train_Loss,Train_Acc,Train_F1,Val_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall
1,0.6828,0.6167,0.5929,0.6674,0.6833,0.5581,0.8571,0.4138
2,0.6549,0.6917,0.6542,0.6454,0.6833,0.6415,0.7083,0.5862
3,0.6101,0.7458,0.7163,0.6224,0.6667,0.6429,0.6667,0.6207
4,0.5872,0.7083,0.7154,0.6128,0.6333,0.5417,0.6842,0.4483
5,0.5391,0.7833,0.7920,0.5999,0.6333,0.5769,0.6522,0.5172
6,0.5143,0.7792,0.7819,0.5939,0.6500,0.6441,0.6333,0.6552
7,0.4621,0.7875,0.7952,0.5763,0.6333,0.6207,0.6207,0.6207
8,0.4554,0.8042,0.7983,0.5956,0.6167,0.6102,0.6000,0.6207
9,0.4331,0.8375,0.8368,0.5910,0.6000,0.6129,0.5758,0.6552
10,0.5008,0.7542,0.7739,0.6033,0.6500,0.6182,0.6538,0.5862
